,song_id,song_name,artist,popularity,is_explicit,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
179,276zciJ7Fg7Jk6Ta6QuLkp,Come Down,Anderson .Paak,67.0,1.0,Malibu,2016-01-15,0.841,0.898,8,-7.135,1,0.104,0.271,0.0151,0.304,0.931,98.401,audio_features,276zciJ7Fg7Jk6Ta6QuLkp,spotify:track:276zciJ7Fg7Jk6Ta6QuLkp,https://api.spotify.com/v1/tracks/276zciJ7Fg7Jk6Ta6QuLkp,https://api.spotify.com/v1/audio-analysis/276zciJ7Fg7Jk6Ta6QuLkp,169727,4
180,4EpZ4eYuZOwPSSwyqpdHnJ,Sunflower,Rex Orange County,78.0,1.0,Sunflower,2017-03-22,0.384,0.765,6,-4.463,1,0.0579,0.646,0.00352,0.522,0.567,129.903,audio_features,4EpZ4eYuZOwPSSwyqpdHnJ,spotify:track:4EpZ4eYuZOwPSSwyqpdHnJ,https://api.spotify.com/v1/tracks/4EpZ4eYuZOwPSSwyqpdHnJ,https://api.spotify.com/v1/audio-analysis/4EpZ4eYuZOwPSSwyqpdHnJ,252231,4
181,5EYi2rH4LYs6M21ZLOyQTx,Loving Is Easy,Rex Orange County,76.0,1.0,Loving Is Easy,2017-10-11,0.756,0.609,3,-7.927,1,0.0544,0.217,0.00474,0.096,0.537,117.023,audio_features,5EYi2rH4LYs6M21ZLOyQTx,spotify:track:5EYi2rH4LYs6M21ZLOyQTx,https://api.spotify.com/v1/tracks/5EYi2rH4LYs6M21ZLOyQTx,https://api.spotify.com/v1/audio-analysis/5EYi2rH4LYs6M21ZLOyQTx,155720,4
182,7wCN8IwqrTQpwkcWH5sP4o,Losing You,Solange,0.0,0.0,True,2012-11-27,0.735,0.798,0,-6.175,1,0.127,0.0579,0.0677,0.161,0.464,113.997,audio_features,7wCN8IwqrTQpwkcWH5sP4o,spotify:track:7wCN8IwqrTQpwkcWH5sP4o,https://api.spotify.com/v1/tracks/7wCN8IwqrTQpwkcWH5sP4o,https://api.spotify.com/v1/audio-analysis/7wCN8IwqrTQpwkcWH5sP4o,260400,4
183,601KiLiZtBJRTXBrTjeieP,Ode to Viceroy,Mac DeMarco,62.0,0.0,2,2012-10-16,0.514,0.632,2,-6.305,1,0.0501,0.208,0.0132,0.115,0.31,94.569,audio_features,601KiLiZtBJRTXBrTjeieP,spotify:track:601KiLiZtBJRTXBrTjeieP,https://api.spotify.com/v1/tracks/601KiLiZtBJRTXBrTjeieP,https://api.spotify.com/v1/audio-analysis/601KiLiZtBJRTXBrTjeieP,233818,4
184,0BPWY79wNehGVARtwJawYV,It Is What It Is,Blood Orange,50.0,0.0,Cupid Deluxe,2013-11-18,0.721,0.648,6,-8.438,1,0.0387,0.231,0.0859,0.0764,0.272,94.897,audio_features,0BPWY79wNehGVARtwJawYV,spotify:track:0BPWY79wNehGVARtwJawYV,https://api.spotify.com/v1/tracks/0BPWY79wNehGVARtwJawYV,https://api.spotify.com/v1/audio-analysis/0BPWY79wNehGVARtwJawYV,307400,4
185,0e43YnIeghIkDOW146x3G5,E.V.P.,Blood Orange,43.0,0.0,Freetown Sound,2016-06-28,0.71,0.692,10,-7.68,1,0.0568,0.00262,0.0128,0.132,0.29,104.983,audio_features,0e43YnIeghIkDOW146x3G5,spotify:track:0e43YnIeghIkDOW146x3G5,https://api.spotify.com/v1/tracks/0e43YnIeghIkDOW146x3G5,https://api.spotify.com/v1/audio-analysis/0e43YnIeghIkDOW146x3G5,343570,4
186,4SBVWkRIMJ6WBCYPvr5Bwr,Make It Better (feat. Smokey Robinson),Anderson .Paak,67.0,0.0,Ventura,2019-04-12,0.676,0.56,4,-6.024,0,0.0643,0.0112,0.00403,0.137,0.551,178.555,audio_features,4SBVWkRIMJ6WBCYPvr5Bwr,spotify:track:4SBVWkRIMJ6WBCYPvr5Bwr,https://api.spotify.com/v1/tracks/4SBVWkRIMJ6WBCYPvr5Bwr,https://api.spotify.com/v1/audio-analysis/4SBVWkRIMJ6WBCYPvr5Bwr,219332,4
187,5aWER7x3X6vETwL8hpYh05,5FT7,Various Artists,18.0,0.0,Palo Alto (Music from the Motion Picture),2014-04-25,0.464,0.492,7,-9.396,1,0.0372,0.0406,0.706,0.11,0.207,76.473,audio_features,5aWER7x3X6vETwL8hpYh05,spotify:track:5aWER7x3X6vETwL8hpYh05,https://api.spotify.com/v1/tracks/5aWER7x3X6vETwL8hpYh05,https://api.spotify.com/v1/audio-analysis/5aWER7x3X6vETwL8hpYh05,205500,4
188,0Zgcv1wy4bRWpfsM27uPGK,Dark & Handsome,Blood Orange,55.0,1.0,Angel's Pulse,2019-07-12,0.584,0.389,11,-12.315,1,0.154,0.689,0.0,0.319,0.288,79.976,audio_features,0Zgcv1wy4bRWpfsM27uPGK,spotify:track:0Zgcv1wy4bRWpfsM27uPGK,https://api.spotify.com/v1/tracks/0Zgcv1wy4bRWpfsM27uPGK,https://api.spotify.com/v1/audio-analysis/0Zgcv1wy4bRWpfsM27uPGK,153750,4
